Function,Kb,Ks,Ki,Kc,alpha,tf,b,R²
Standard Model,,7.093116451800445e-05,,,,,,0.25008373753879687
Intermediate Model,,,6.917482720414662e-05,,,,,0.22136406263213138
Cake Model,,,,0.0007649224503435816,,,,0.3318157755608603
CakeIntermediate Model,,,-0.0001808998880445766,0.003476749630712345,,,,0.9230302509003012
IntermediateStandard Model,,-0.0003831673465422253,0.0005097648004826825,,,,,0.8376484922836823
CakeStandard Model,,0.0002708206415309871,,-0.001438830584963726,,,,0.8371277479344739
SigmoidCakeComplete Model,3.367327866001033e-05,,,0.0005153929529154804,0.0002654402305225488,7.448893972833112e-08,0.009454704270250917,0.9872002667843612
SigmoidCakeIntermediate Model,,,0.0003455882846382177,0.0005173125412360252,0.0002655711542799885,5.80954880116815e-09,0.008960881657241617,0.987397629834331
SigmoidCompleteStandard Model,3.344915110159941e-05,4.777654742784554e-05,,,0.0002569770298364681,5.736729982859303e-12,0.009974217542271444,0.9868701370736052
SigmoidIntermediateStandard Model,,3.0273898339958797e-05,0.00020596619304862716,,0.9915011576033144,2562.3084286207804,0.04805855261218081,0.9795896760126424
SigmoidCakeStandard Model,,0.00035016463558513674,,0.0005182771210452233,0.00026563689331798456,2.5356549539407136e-09,0.008710837491027076,0.9874954020387672
